"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
307,"2019-05-01 07:01:59.3130","2019-05-01 07:07:06.7380",3679,"Bergen Ave",40.722103786686034,-74.07145500183105,3195,"Sip Ave",40.73089709786179,-74.06391263008118,29479,"Subscriber",1985,2
158,"2019-05-01 07:02:33.4840","2019-05-01 07:05:12.1220",3279,"Dixon Mills",40.721630142638354,-74.04996782541275,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29224,"Subscriber",1976,1
200,"2019-05-01 07:02:56.7280","2019-05-01 07:06:16.7690",3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29643,"Subscriber",1969,0
315,"2019-05-01 07:04:10.6740","2019-05-01 07:09:25.8160",3275,"Columbus Drive",40.71835519823214,-74.03891444206238,3214,"Essex Light Rail",40.7127742,-74.0364857,29299,"Subscriber",1983,2
300,"2019-05-01 07:04:25.8860","2019-05-01 07:09:26.6360",3678,"Fairmount Ave",40.72572613742557,-74.07195925712585,3195,"Sip Ave",40.73089709786179,-74.06391263008118,29503,"Subscriber",1988,1
190,"2019-05-01 07:04:35.4830","2019-05-01 07:07:45.9740",3269,"Brunswick & 6th",40.72601172964625,-74.05038893222809,3272,"Jersey & 3rd",40.72333158646436,-74.04595255851744,29596,"Subscriber",1982,2
143,"2019-05-01 07:05:38.9490","2019-05-01 07:08:01.9860",3679,"Bergen Ave",40.722103786686034,-74.07145500183105,3194,"McGinley Square",40.7253399253558,-74.06762212514877,29681,"Subscriber",1994,1
552,"2019-05-01 07:07:33.3440","2019-05-01 07:16:45.3450",3203,"Hamilton Park",40.727595966,-74.044247311,3184,"Paulus Hook",40.7141454,-74.0335519,26170,"Subscriber",1969,1
219,"2019-05-01 07:07:38.5120","2019-05-01 07:11:18.2010",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3275,"Columbus Drive",40.71835519823214,-74.03891444206238,29535,"Subscriber",1969,1
204,"2019-05-01 07:07:49.1790","2019-05-01 07:11:13.7870",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3183,"Exchange Place",40.7162469,-74.0334588,29487,"Subscriber",1989,1
198,"2019-05-01 07:07:50.0070","2019-05-01 07:11:08.3910",3194,"McGinley Square",40.7253399253558,-74.06762212514877,3195,"Sip Ave",40.73089709786179,-74.06391263008118,26288,"Subscriber",1995,1
